x,y,z
-0.432000,0.074000,0.268000
-0.026000,-0.163500,0.499500
0.024000,-0.213500,0.499500
0.074000,-0.213500,0.449500
0.499000,-0.019500,0.030500
0.211500,-0.325500,0.561500
-0.432000,-0.369500,0.280500
-0.219500,-0.557000,0.193000
0.293000,-0.444500,0.043000
-0.332000,-0.469500,0.105500
-0.432000,0.074000,0.268000
0.024000,-0.163500,0.499500
0.423500,-0.003000,0.159000
0.024000,-0.188500,0.424500
0.524000,-0.019500,0.055500
0.211500,-0.476000,0.412000
-0.301000,-0.450500,0.049000
-0.226000,-0.476000,0.412000
-0.301000,-0.450500,0.049000
-0.219500,-0.557000,0.193000
-0.327500,-0.471000,0.095500
-0.432000,-0.369500,0.305500
-0.375500,-0.188500,0.511500
-0.432000,0.068000,0.368000
0.024000,-0.213500,0.449500
-0.500500,-0.194500,0.018000
0.537000,-0.201000,0.186500
0.524000,-0.019500,0.055500
0.537000,-0.201000,0.186500
-0.432000,0.068000,0.368000
-0.182000,-0.582000,0.168000
-0.076000,-0.213500,0.449500
0.168000,-0.582000,0.168000
-0.110000,-0.502000,-0.034500
-0.110000,-0.502000,-0.034500
-0.301000,-0.450500,0.049000
-0.301000,-0.450500,0.049000
-0.313500,-0.463000,0.074000
-0.475500,0.124000,0.312000
-0.450500,-0.351000,0.199000
-0.194500,-0.132000,0.605500
-0.026000,-0.213500,0.499500
0.373500,0.047000,0.209000
0.423500,-0.003000,0.209000
-0.500500,-0.194500,0.018000
0.291000,0.026000,0.188000
0.262000,0.111500,0.274000
-0.194500,0.205500,0.205500
0.180500,-0.569500,0.168000
-0.257000,-0.007000,0.130500
-0.313500,-0.463000,0.074000
0.180500,-0.569500,0.168000
0.280500,0.305500,0.005500
-0.528500,0.104500,0.303500
-0.207000,-0.569500,0.168000
0.180500,-0.569500,0.168000
-0.569500,-0.132000,0.205500
-0.032000,-0.532000,0.093000
-0.007000,-0.232000,0.618000
-0.026000,-0.163500,0.499500
0.536500,-0.044500,0.080500
-0.219500,-0.557000,0.193000
-0.232000,0.330500,0.093000
-0.044500,-0.219500,0.605500
0.024000,-0.163500,0.499500
0.093000,-0.019500,0.368000
0.093000,-0.019500,0.368000
0.188000,0.246500,0.088000
0.068000,0.293000,-0.044500
0.536500,-0.044500,0.080500
0.555500,-0.007000,0.193000
-0.107000,0.218000,-0.044500
-0.207000,-0.569500,0.168000
-0.082000,0.205500,0.180500
-0.026000,-0.213500,0.499500
0.074000,-0.213500,0.449500
-0.400500,-0.500500,0.174500
-0.400500,-0.500500,0.174500
-0.219500,-0.557000,0.193000
0.163000,0.253000,0.100500
0.193000,0.305500,-0.007000
-0.182000,0.330500,0.093000
0.287000,-0.026000,0.224000
0.423500,-0.003000,0.209000
0.412000,0.062000,0.511500
0.193000,0.236500,0.105500
0.499000,-0.019500,0.030500
-0.257000,0.118000,-0.094500
-0.082000,-0.207000,0.618000
-0.232000,0.155500,0.011500
-0.232000,0.155500,0.011500
0.205500,0.005500,-0.007000
-0.094500,0.180500,0.118000
-0.076000,-0.213500,0.449500
0.024000,-0.213500,0.499500
-0.307000,0.218000,-0.069500
-0.207000,0.218000,-0.044500
-0.244500,0.018000,0.193000
0.518000,-0.107000,0.355500
-0.107000,-0.232000,0.618000
0.373500,-0.003000,0.209000
0.493000,-0.219500,0.168000
0.423500,-0.003000,0.159000
-0.182000,0.068000,0.005500
0.524000,-0.019500,0.055500
0.193000,0.305500,-0.007000
-0.094500,0.243000,-0.032000
-0.350500,-0.213500,0.536500
-0.182000,0.330500,-0.007000
-0.519500,0.055500,0.168000
-0.194500,-0.132000,0.605500
0.268000,-0.082000,0.505500
-0.019500,0.080500,0.693000
-0.244500,-0.007000,0.193000
0.018000,-0.407000,-0.044500
-0.375500,-0.188500,0.511500
-0.519500,0.055500,0.168000
-0.182000,-0.132000,-0.007000
0.211500,0.012000,-0.013000
0.205500,0.293000,-0.019500
-0.432000,0.024000,0.268000
-0.194500,-0.132000,0.605500
0.214500,0.215000,0.227500
0.068000,0.393000,-0.044500
-0.432000,0.024000,0.268000
-0.157000,-0.457000,0.393000
-0.069500,-0.219500,0.605500
0.293000,-0.019500,0.218000
0.493000,-0.219500,0.218000
-0.076000,-0.025500,0.411500
-0.219500,-0.619500,0.305500
-0.571000,-0.097500,0.158000
-0.194500,-0.569500,0.168000
0.243000,0.005500,-0.032000
-0.431000,0.065500,0.411000
-0.431000,0.065500,0.411000
