x,y,z
-0.366500,-0.385000,0.071000
0.073500,-0.075000,0.558500
-0.504000,-0.051000,0.258000
-0.501500,-0.083500,0.360000
-0.379000,-0.478500,0.158500
-0.300500,-0.044500,0.218000
-0.344500,0.093000,0.130500
-0.304500,-0.267500,0.556500
-0.232000,-0.069500,0.305500
-0.232000,-0.094500,0.574500
-0.169500,-0.532000,0.155500
-0.083500,-0.489000,0.456000
0.080500,-0.482000,0.005500
0.030500,-0.169500,0.668000
0.059000,-0.079500,0.670000
0.155500,-0.582000,0.230500
0.155500,-0.519500,0.093000
0.180500,-0.294500,0.243000
0.230500,-0.057000,0.305500
0.258000,0.067500,0.042500
0.002500,-0.284000,0.270000
-0.546000,-0.097000,0.095500
0.080500,-0.482000,-0.019500
0.080500,-0.082000,0.455500
0.389000,-0.122500,0.569500
-0.546000,-0.097000,0.095500
-0.244500,-0.144500,0.318000
-0.173000,-0.350500,-0.030500
-0.207000,-0.169500,0.599500
0.105500,-0.482000,-0.019500
0.105500,-0.482000,-0.019500
0.519500,-0.072000,0.389000
0.385000,-0.112500,0.571000
-0.332000,0.105500,0.255500
-0.357000,-0.294500,0.405500
0.030500,-0.619500,0.118000
0.155500,-0.325500,-0.025500
0.255500,-0.519500,0.068000
0.455500,0.018000,-0.019500
-0.340000,0.158000,0.095500
-0.508500,-0.277500,0.314000
-0.304500,-0.127500,0.088000
-0.332000,0.105500,0.255500
-0.207000,-0.119500,0.549500
0.030500,-0.619500,0.118000
0.105500,-0.482000,0.005500
0.105500,-0.482000,0.005500
-0.277500,-0.352500,0.519500
0.418000,-0.169500,0.005500
0.389000,-0.122500,0.569500
0.455500,0.018000,-0.019500
0.263500,-0.110000,0.263500
-0.254000,0.024000,0.418000
-0.254000,0.024000,0.418000
0.543000,-0.207000,0.086500
0.253000,-0.114500,0.278500
0.543000,-0.207000,0.086500
0.543000,-0.207000,0.086500
0.251500,-0.110000,0.276000
0.396500,0.017000,0.154000
0.362000,0.065500,0.065500
0.351500,-0.415500,0.033500
0.303500,-0.089500,-0.024000
0.268000,0.024000,-0.007000
0.393000,0.037000,-0.035000
0.393000,0.037000,-0.035000
-0.500500,-0.270000,0.068500
0.320500,-0.012000,0.050500
0.040000,-0.360500,0.071500
0.040000,-0.360500,0.071500
-0.334000,0.257500,0.077000
-0.334000,0.257500,0.077000
-0.329500,-0.267500,0.544000
-0.267500,-0.329500,0.544000
-0.146000,-0.227500,0.675000
-0.263000,-0.007000,0.218000
0.543500,-0.177000,0.278500
0.064500,-0.047000,0.582000
-0.108500,-0.386500,-0.027000
0.413500,0.024000,0.167000
-0.195000,-0.132000,0.643000
-0.032000,-0.560500,0.061500
-0.182000,0.230500,-0.050500
-0.094500,-0.257000,0.643000
0.413500,0.024000,0.167000
-0.169500,0.337000,-0.032000
-0.195000,-0.132000,0.643000
0.018000,-0.382000,-0.069500
-0.195000,-0.132000,0.643000
-0.335000,-0.191500,0.583500
-0.500500,0.016500,0.414500
-0.500500,0.016500,0.414500
-0.201000,-0.132000,0.643000
0.311500,-0.376000,0.437000
-0.407000,0.052000,0.293000
0.474000,-0.338000,0.211500
-0.557000,0.017500,0.168000
0.474000,-0.338000,0.211500
0.474000,-0.338000,0.211500
-0.319500,0.059000,0.268000
0.224000,0.255500,-0.025500
-0.437500,-0.187500,0.010500
0.090500,-0.338000,0.153000
0.183500,-0.141500,0.652500
0.305500,0.086500,0.243000
-0.557000,0.017500,0.168000
-0.035000,-0.322500,0.258500
0.055500,-0.207000,0.655500
0.305500,-0.044500,0.536500
-0.407000,0.052000,0.293000
-0.220000,-0.013000,0.649000
0.461500,0.018000,0.268000
-0.557000,0.005000,0.218000
-0.392500,0.044000,0.456000
-0.251000,-0.001000,0.630500
-0.094500,-0.257000,0.643000
-0.226000,-0.119500,0.637000
-0.035000,-0.322500,0.258500
0.005500,-0.319500,0.268500
0.055500,-0.207000,0.655500
-0.569500,-0.150500,0.174000
-0.496500,-0.288000,0.312000
0.093000,-0.019500,0.430500
0.474000,0.018000,-0.019500
-0.435000,-0.191500,0.409000
-0.269500,-0.019500,0.443000
0.474000,0.018000,-0.019500
-0.032000,-0.500500,-0.032000
-0.330500,-0.022000,0.398500
-0.032000,-0.500500,-0.032000
0.452500,-0.107000,-0.035000
0.452500,-0.107000,-0.035000
0.161500,-0.257000,0.168000
0.390000,-0.429000,0.315000
-0.132500,-0.217500,0.684000
-0.561000,-0.078000,0.268000
-0.469500,0.030500,-0.032000
-0.269500,-0.094500,0.318000
-0.469500,0.030500,-0.032000
0.452500,-0.107000,-0.035000
0.452500,-0.107000,-0.035000
0.177500,-0.235000,0.165000
-0.257000,-0.488000,0.418000
0.230500,-0.582000,0.155500
0.018000,-0.500500,-0.032000
-0.355500,-0.047000,0.373500
0.018000,-0.500500,-0.032000
0.093000,-0.563000,0.030500
0.093000,-0.563000,0.030500
0.211500,-0.369500,-0.054000
0.343000,0.011500,0.430500
-0.044500,-0.432000,0.586500
-0.044500,-0.432000,0.586500
-0.331500,-0.062500,0.060500
-0.561000,-0.078000,0.268000
-0.331500,-0.062500,0.060500
0.343000,0.011500,0.430500
0.462000,-0.305500,0.047000
0.462000,-0.305500,0.047000
-0.558000,-0.077000,0.266000
0.080500,-0.582000,0.255500
-0.162500,-0.125000,0.577500
-0.444500,0.071000,0.330500
-0.269500,-0.482000,0.380500
-0.232000,-0.069500,0.305500
-0.144500,-0.294500,0.293000
-0.157000,-0.269500,0.605500
-0.091500,-0.147500,0.439500
-0.083500,-0.479500,0.004000
-0.026000,-0.213500,0.449500
0.030500,-0.169500,0.668000
0.130500,-0.482000,0.005500
0.555500,-0.182000,0.255500
-0.358500,-0.059500,0.507000
-0.519500,-0.294500,0.218000
-0.545500,-0.089500,0.100500
0.018000,-0.369500,0.605500
0.018000,-0.369500,0.605500
0.480500,-0.232000,0.355500
-0.545500,-0.089500,0.100500
0.105500,-0.282000,0.180500
0.205500,-0.282000,0.030500
0.230500,0.005500,0.518000
0.394500,0.062000,0.149000
-0.352500,-0.110000,-0.034500
0.155500,-0.325500,-0.025500
0.105500,-0.282000,0.180500
0.180500,-0.282000,0.030500
0.455500,0.018000,-0.019500
0.368000,0.055500,-0.019500
-0.172500,-0.034500,0.507000
-0.094500,-0.032000,0.505500
0.105500,-0.482000,0.005500
0.218000,-0.569500,0.105500
0.105500,-0.482000,0.005500
0.255500,-0.057000,0.305500
-0.494500,0.074000,0.305500
-0.352500,-0.110000,-0.034500
-0.210000,-0.548000,0.283500
0.230500,0.005500,0.518000
0.418000,-0.169500,0.005500
0.480500,-0.144500,0.418000
0.368000,0.055500,-0.019500
0.376500,0.046000,0.313500
0.480500,0.005500,0.474000
0.455500,0.018000,-0.019500
0.168000,-0.469500,-0.019500
0.255500,-0.119500,0.280500
0.253000,-0.114500,0.278500
0.226500,-0.110000,0.301000
-0.064500,-0.582500,0.278500
-0.019500,-0.619500,0.118000
-0.300000,0.040500,0.493500
-0.019500,-0.619500,0.118000
0.339000,-0.428000,0.021000
0.168000,-0.244500,0.180500
0.240000,-0.229000,0.096000
0.335500,-0.028500,0.046500
-0.108000,-0.111500,0.637000
0.027000,-0.360500,0.071500
-0.096000,-0.177500,0.675000
-0.500500,-0.245000,0.068500
-0.448000,-0.336000,0.316000
-0.032000,-0.560500,0.061500
-0.194500,0.224500,-0.019500
-0.094500,-0.257000,0.643000
0.518000,-0.251000,0.180500
-0.169500,0.337000,0.018000
0.268000,-0.000500,0.205500
0.530500,-0.238500,0.205500
0.518000,-0.251000,0.180500
-0.500500,0.004000,0.427000
-0.500500,0.004000,0.427000
0.268000,-0.000500,0.205500
-0.294000,0.053000,0.312000
-0.257000,-0.550500,0.180500
-0.219500,-0.119500,0.637000
-0.257000,-0.550500,0.180500
0.311500,-0.351000,0.462000
0.530500,-0.238500,0.205500
-0.407000,0.052000,0.293000
0.449000,-0.381500,0.205000
-0.557000,-0.007000,0.174000
0.449000,-0.381500,0.205000
0.449000,-0.381500,0.205000
-0.282000,0.011500,0.212000
-0.244500,-0.182000,0.618000
-0.425000,-0.218500,0.010500
-0.207000,-0.107000,0.574500
0.080500,-0.220000,0.643000
0.100500,-0.342500,0.138000
0.183500,-0.141500,0.652500
0.432500,0.024000,0.179500
-0.557000,-0.007000,0.174000
-0.407000,0.052000,0.293000
-0.289000,0.030500,0.319000
-0.588500,-0.132000,0.180500
-0.245000,-0.001000,0.636500
-0.026000,-0.163000,0.461000
-0.557000,0.005000,0.218000
-0.094500,-0.257000,0.643000
-0.226000,-0.119500,0.637000
-0.026000,-0.163000,0.461000
0.080500,-0.220000,0.643000
0.093000,-0.482000,-0.032000
0.093000,-0.482000,-0.032000
0.301500,-0.103500,-0.041000
0.415000,-0.404000,0.315000
-0.032000,-0.500500,-0.032000
-0.032000,-0.500500,-0.032000
-0.469500,-0.044500,-0.032000
0.161500,-0.407000,-0.041500
-0.469500,-0.044500,-0.032000
0.428500,-0.329500,0.007000
0.030500,-0.432000,0.586500
0.030500,-0.432000,0.586500
0.218000,-0.576000,0.130500
-0.356500,0.262000,0.021000
-0.548000,-0.260000,0.271000
-0.269500,-0.094500,0.318000
-0.548000,-0.260000,0.271000
-0.378500,-0.198000,0.539500
-0.332000,-0.194500,0.580500
0.518500,-0.152000,0.378500
-0.344500,-0.044500,-0.032000
0.193000,-0.275500,-0.038000
-0.344500,-0.044500,-0.032000
-0.025500,-0.375500,-0.019500
-0.025500,-0.375500,-0.019500
0.389000,-0.415500,0.028000
-0.332000,-0.194500,0.580500
-0.378500,-0.198000,0.539500
0.518500,-0.152000,0.378500
0.437000,-0.305500,0.022000
-0.440500,0.057500,0.524500
-0.513000,0.099500,0.199000
0.342500,0.003500,0.420500
0.437000,-0.305500,0.022000
0.353500,-0.077500,0.619000
0.073500,-0.075000,0.558500
0.292500,-0.151500,0.109500
-0.387000,-0.041000,0.480500
-0.294500,-0.482000,0.355500
-0.282000,-0.419500,0.380500
-0.232000,-0.244500,0.055500
-0.267500,-0.304500,0.556500
-0.232000,-0.069500,0.305500
-0.182000,-0.144500,0.574500
-0.083500,-0.479500,0.004000
0.080500,-0.482000,0.005500
0.030500,-0.169500,0.668000
0.059000,-0.079500,0.670000
0.130500,-0.482000,0.005500
0.284000,-0.241500,0.146000
0.341000,-0.089500,0.353500
0.455500,-0.388000,0.161500
-0.546000,-0.110000,0.083000
0.018000,-0.494500,-0.019500
-0.032000,-0.369500,0.605500
0.080500,-0.482000,-0.019500
-0.032000,-0.369500,0.605500
0.168000,-0.194500,0.255500
0.505500,-0.232000,0.355500
-0.326000,-0.024500,0.382000
0.276000,-0.059500,0.070500
-0.546000,-0.110000,0.083000
-0.280500,0.082000,0.182000
-0.232000,-0.132000,0.193000
